221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
-3.826161E-03,+1.945172E+00,+2.702000E+01,+1.529100E+01,+1.356100E+01,+2.905800E+01,+1.901300E+01,+1.902600E+01
-7.279196E-03,+1.946390E+00,+2.701800E+01,+1.528800E+01,+1.356300E+01,+2.906300E+01,+1.901200E+01,+1.902900E+01
-5.243871E-03,+1.942877E+00,+2.701900E+01,+1.529000E+01,+1.356500E+01,+2.905800E+01,+1.901400E+01,+1.903400E+01
-4.701112E-03,+1.945078E+00,+2.702000E+01,+1.529200E+01,+1.357100E+01,+2.905700E+01,+1.901800E+01,+1.903500E+01
-4.116250E-03,+1.939177E+00,+2.702700E+01,+1.529400E+01,+1.357100E+01,+2.906400E+01,+1.902000E+01,+1.903900E+01
-9.497002E-03,+1.954727E+00,+2.702200E+01,+1.529200E+01,+1.357200E+01,+2.906400E+01,+1.902200E+01,+1.904300E+01
-6.277901E-03,+1.949200E+00,+2.702800E+01,+1.529900E+01,+1.357400E+01,+2.906900E+01,+1.902400E+01,+1.904400E+01
-5.454421E-03,+1.943392E+00,+2.703000E+01,+1.529900E+01,+1.358200E+01,+2.906700E+01,+1.902500E+01,+1.905100E+01
-3.732570E-03,+1.950090E+00,+2.702800E+01,+1.529700E+01,+1.358300E+01,+2.906500E+01,+1.902900E+01,+1.905400E+01
-4.804054E-03,+1.948826E+00,+2.703000E+01,+1.530200E+01,+1.358700E+01,+2.906800E+01,+1.903400E+01,+1.905700E+01
-4.542034E-03,+1.946062E+00,+2.702700E+01,+1.530100E+01,+1.359000E+01,+2.907300E+01,+1.903700E+01,+1.905900E+01
-5.136245E-03,+1.951214E+00,+2.702800E+01,+1.530500E+01,+1.359500E+01,+2.907200E+01,+1.903700E+01,+1.906100E+01
-4.083498E-03,+1.951542E+00,+2.703700E+01,+1.530700E+01,+1.359500E+01,+2.908200E+01,+1.904000E+01,+1.906200E+01
-5.187716E-03,+1.946156E+00,+2.703800E+01,+1.531100E+01,+1.359600E+01,+2.908100E+01,+1.904300E+01,+1.906700E+01
-6.296619E-03,+1.942362E+00,+2.702700E+01,+1.530900E+01,+1.359700E+01,+2.908700E+01,+1.904600E+01,+1.906400E+01
-1.907776E-03,+1.940582E+00,+2.702900E+01,+1.531200E+01,+1.360000E+01,+2.908900E+01,+1.904700E+01,+1.906600E+01
-3.400378E-03,+1.944751E+00,+2.703700E+01,+1.531300E+01,+1.359700E+01,+2.908600E+01,+1.904400E+01,+1.906100E+01
-1.842271E-03,+1.946062E+00,+2.703500E+01,+1.531500E+01,+1.360000E+01,+2.908600E+01,+1.904600E+01,+1.906100E+01
-1.622371E-03,+1.951589E+00,+2.704200E+01,+1.531600E+01,+1.360200E+01,+2.909000E+01,+1.904700E+01,+1.906000E+01
-3.358257E-03,+1.944329E+00,+2.703600E+01,+1.531800E+01,+1.360100E+01,+2.909200E+01,+1.904600E+01,+1.905600E+01
-4.003958E-03,+1.949903E+00,+2.703500E+01,+1.531500E+01,+1.360000E+01,+2.908500E+01,+1.904600E+01,+1.905500E+01
-6.792592E-03,+1.958193E+00,+2.703900E+01,+1.531900E+01,+1.359700E+01,+2.909100E+01,+1.905000E+01,+1.905100E+01
-4.640291E-03,+1.947280E+00,+2.704200E+01,+1.531700E+01,+1.360000E+01,+2.909100E+01,+1.904900E+01,+1.905000E+01
-2.829532E-03,+1.944235E+00,+2.703800E+01,+1.531700E+01,+1.360000E+01,+2.909200E+01,+1.904900E+01,+1.904700E+01
-2.979260E-03,+1.949107E+00,+2.704300E+01,+1.532000E+01,+1.359900E+01,+2.909300E+01,+1.905100E+01,+1.904600E+01
-5.510557E-03,+1.951823E+00,+2.703900E+01,+1.531700E+01,+1.359400E+01,+2.909100E+01,+1.905200E+01,+1.903900E+01
-5.585432E-03,+1.950887E+00,+2.703700E+01,+1.531700E+01,+1.359200E+01,+2.909700E+01,+1.905200E+01,+1.903900E+01
-5.000551E-03,+1.951355E+00,+2.703900E+01,+1.531900E+01,+1.359000E+01,+2.909800E+01,+1.905100E+01,+1.903500E+01
-5.309377E-03,+1.942690E+00,+2.704600E+01,+1.532100E+01,+1.359000E+01,+2.909900E+01,+1.905200E+01,+1.903600E+01
-6.366808E-03,+1.948826E+00,+2.704000E+01,+1.531900E+01,+1.358900E+01,+2.909000E+01,+1.905000E+01,+1.903400E+01
-6.193677E-03,+1.957257E+00,+2.704800E+01,+1.531800E+01,+1.358600E+01,+2.909500E+01,+1.905400E+01,+1.903200E+01
-4.205139E-03,+1.946999E+00,+2.704000E+01,+1.531800E+01,+1.358700E+01,+2.909300E+01,+1.905300E+01,+1.903100E+01
-3.765322E-03,+1.957819E+00,+2.704000E+01,+1.531600E+01,+1.358500E+01,+2.909600E+01,+1.905300E+01,+1.903200E+01
-7.433591E-03,+1.947514E+00,+2.704500E+01,+1.531700E+01,+1.358400E+01,+2.909500E+01,+1.905100E+01,+1.902900E+01
-5.847452E-03,+1.938521E+00,+2.704400E+01,+1.531700E+01,+1.358600E+01,+2.909500E+01,+1.905200E+01,+1.902700E+01
-5.468455E-03,+1.942924E+00,+2.703900E+01,+1.531700E+01,+1.358400E+01,+2.909500E+01,+1.905100E+01,+1.902200E+01
-4.832123E-03,+1.946156E+00,+2.703900E+01,+1.531800E+01,+1.358400E+01,+2.909500E+01,+1.905000E+01,+1.902400E+01
-5.463771E-03,+1.950371E+00,+2.704100E+01,+1.531600E+01,+1.358100E+01,+2.909700E+01,+1.904900E+01,+1.902200E+01
